Clump Thickness,Uniformity of Cell Size,Uniformity of Cell Shape,Marginal Adhesion,Single Epithelial Cell Size,Bare Nuclei,Bland Chromatin,Normal Nucleoli,Mitoses,class
5,10,10,10,10,2,10,10,10,4
10,8,10,10,6,1,3,1,10,4
9,10,10,10,10,5,10,10,10,4
6,10,2,8,10,2,7,8,10,4
10,10,10,10,10,1,8,8,8,4
5,10,6,1,10,4,4,10,10,4
10,10,10,10,10,10,4,10,10,4
10,4,2,1,3,2,4,3,10,4
6,10,10,10,10,10,8,10,10,4
8,10,10,10,6,10,10,10,10,4
9,6,9,2,10,6,2,9,10,4
10,10,10,1,6,1,2,8,1,4
10,1,1,1,2,10,5,4,1,4
10,10,10,7,9,10,7,10,10,4
4,10,8,5,4,1,10,1,1,4
5,6,5,6,10,1,3,1,1,4
5,10,10,10,10,10,10,1,1,4
9,5,8,1,2,3,2,1,5,4
8,10,10,8,6,9,3,10,10,4
8,6,4,10,10,1,3,5,1,4
10,10,10,4,8,1,8,10,1,4
5,10,10,3,8,1,5,10,3,4
10,10,7,8,7,1,10,10,3,4
10,3,5,1,10,5,3,10,2,4
10,10,10,10,5,10,10,10,7,4
6,10,10,10,8,10,10,10,7,4
3,4,4,10,5,1,3,3,1,4
9,10,10,10,10,10,10,10,1,4
6,1,3,1,4,5,5,10,1,4
10,8,8,2,8,10,4,8,10,4
5,7,4,1,6,1,7,10,3,4
5,2,3,1,6,10,5,1,1,4
10,10,10,8,6,1,8,9,1,4
10,4,3,10,4,10,10,1,1,4